ID,URL,TIME,SIZE
NaN,/segment_360p_.mp4,1638694040318,903
1,/segment_360p_1.m4s,1638694040516,202182
NaN,/segment_144p_.mp4,1638694048815,953
2,/segment_144p_2.m4s,1638694049229,24116
2,/segment_144p_2.m4s,1638694050292,24116
3,/segment_144p_3.m4s,1638694051491,28590
4,/segment_144p_4.m4s,1638694052866,30825
5,/segment_144p_5.m4s,1638694054475,26665
6,/segment_144p_6.m4s,1638694055568,42178
7,/segment_144p_7.m4s,1638694063519,34303
8,/segment_144p_8.m4s,1638694067614,38992
9,/segment_144p_9.m4s,1638694071432,30813
10,/segment_144p_10.m4s,1638694075444,40806
11,/segment_144p_11.m4s,1638694079293,41898
12,/segment_144p_12.m4s,1638694083833,41116
13,/segment_144p_13.m4s,1638694087570,38134
14,/segment_144p_14.m4s,1638694091288,40855
15,/segment_144p_15.m4s,1638694095635,29785
16,/segment_144p_16.m4s,1638694099632,30400
17,/segment_144p_17.m4s,1638694103501,45643
18,/segment_144p_18.m4s,1638694107565,29150
19,/segment_144p_19.m4s,1638694111499,25449
20,/segment_144p_20.m4s,1638694115711,32505
21,/segment_144p_21.m4s,1638694119705,33183
22,/segment_144p_22.m4s,1638694123282,39140
23,/segment_144p_23.m4s,1638694127627,32535
24,/segment_144p_24.m4s,1638694131645,47375
25,/segment_144p_25.m4s,1638694135762,33443
26,/segment_144p_26.m4s,1638694139361,39101
27,/segment_144p_27.m4s,1638694143702,42066
28,/segment_144p_28.m4s,1638694147638,44600
29,/segment_144p_29.m4s,1638694151664,38053
30,/segment_144p_30.m4s,1638694155441,48282
