ID,URL,TIME,SIZE
NaN,/segment_360p_.mp4,1638743648268,903
1,/segment_360p_1.m4s,1638743648478,202182
2,/segment_360p_2.m4s,1638743650397,181391
3,/segment_360p_3.m4s,1638743652035,190757
4,/segment_360p_4.m4s,1638743653868,225696
5,/segment_360p_5.m4s,1638743655848,173657
6,/segment_360p_6.m4s,1638743658995,291902
7,/segment_360p_7.m4s,1638743662583,253476
8,/segment_360p_8.m4s,1638743666865,313572
9,/segment_360p_9.m4s,1638743670694,257385
10,/segment_360p_10.m4s,1638743675021,331614
11,/segment_360p_11.m4s,1638743678845,309272
12,/segment_360p_12.m4s,1638743682634,320189
13,/segment_360p_13.m4s,1638743686968,308431
14,/segment_360p_14.m4s,1638743690667,327211
15,/segment_360p_15.m4s,1638743695029,286016
16,/segment_360p_16.m4s,1638743699020,239042
17,/segment_360p_17.m4s,1638743702720,332390
18,/segment_360p_18.m4s,1638743706698,233176
19,/segment_360p_19.m4s,1638743710713,220516
20,/segment_360p_20.m4s,1638743714788,247159
21,/segment_360p_21.m4s,1638743719028,256705
22,/segment_360p_22.m4s,1638743722792,297881
23,/segment_360p_23.m4s,1638743726973,225188
24,/segment_360p_24.m4s,1638743730558,342751
25,/segment_360p_25.m4s,1638743734571,273559
26,/segment_360p_26.m4s,1638743738974,324346
27,/segment_360p_27.m4s,1638743742751,299669
28,/segment_360p_28.m4s,1638743746955,299859
29,/segment_360p_29.m4s,1638743750526,295688
30,/segment_360p_30.m4s,1638743754735,344337
31,/segment_360p_31.m4s,1638743758727,290096
32,/segment_360p_32.m4s,1638743762710,336122
33,/segment_360p_33.m4s,1638743766705,297474
34,/segment_360p_34.m4s,1638743770818,334339
35,/segment_360p_35.m4s,1638743774811,290883
36,/segment_360p_36.m4s,1638743778903,198909
37,/segment_360p_37.m4s,1638743782686,146360
38,/segment_360p_38.m4s,1638743786676,119079
39,/segment_360p_39.m4s,1638743790978,151317
40,/segment_360p_40.m4s,1638743794874,117435
41,/segment_360p_41.m4s,1638743798586,71734
42,/segment_360p_42.m4s,1638743802976,234119
43,/segment_360p_43.m4s,1638743806661,235956
44,/segment_360p_44.m4s,1638743810735,207272
45,/segment_360p_45.m4s,1638743814627,158692
46,/segment_360p_46.m4s,1638743818730,164905
47,/segment_360p_47.m4s,1638743822825,201307
48,/segment_360p_48.m4s,1638743826608,193470
49,/segment_360p_49.m4s,1638743831013,238089
50,/segment_360p_50.m4s,1638743834598,221497
51,/segment_360p_51.m4s,1638743838691,168431
52,/segment_360p_52.m4s,1638743842790,176496
53,/segment_360p_53.m4s,1638743846984,198698
54,/segment_360p_54.m4s,1638743850788,124082
55,/segment_360p_55.m4s,1638743854572,124408
56,/segment_360p_56.m4s,1638743858748,142987
57,/segment_360p_57.m4s,1638743862775,107643
58,/segment_360p_58.m4s,1638743866890,104950
59,/segment_360p_59.m4s,1638743870544,32337
