ID,URL,TIME,SIZE
NaN,/segment_360p_.mp4,1638771243315,903
1,/segment_360p_1.m4s,1638771243684,202182
NaN,/segment_1080p_.mp4,1638771244708,960
1,/segment_1080p_1.m4s,1638771244850,1250617
NaN,/segment_144p_.mp4,1638771250137,953
2,/segment_144p_2.m4s,1638771250340,24116
NaN,/segment_360p_.mp4,1638771250678,903
2,/segment_360p_2.m4s,1638771250890,181391
NaN,/segment_720p_.mp4,1638771251876,962
2,/segment_720p_2.m4s,1638771252066,582615
NaN,/segment_144p_.mp4,1638771254743,953
3,/segment_144p_3.m4s,1638771254875,28590
4,/segment_144p_4.m4s,1638771255255,30825
NaN,/segment_360p_.mp4,1638771255667,903
3,/segment_360p_3.m4s,1638771255815,190757
4,/segment_360p_4.m4s,1638771256897,225696
5,/segment_360p_5.m4s,1638771257941,173657
6,/segment_360p_6.m4s,1638771258943,291902
7,/segment_360p_7.m4s,1638771260274,253476
8,/segment_360p_8.m4s,1638771261561,313572
NaN,/segment_1080p_.mp4,1638771265599,960
6,/segment_1080p_6.m4s,1638771265776,1203283
NaN,/segment_720p_.mp4,1638771270831,962
7,/segment_720p_7.m4s,1638771271043,893352
8,/segment_720p_8.m4s,1638771274918,1045994
NaN,/segment_144p_.mp4,1638771279274,953
9,/segment_144p_9.m4s,1638771279527,30813
10,/segment_144p_10.m4s,1638771279862,40806
NaN,/segment_360p_.mp4,1638771280343,903
10,/segment_360p_10.m4s,1638771280486,331614
11,/segment_360p_11.m4s,1638771282084,309272
12,/segment_360p_12.m4s,1638771283620,320189
13,/segment_360p_13.m4s,1638771285156,308431
14,/segment_360p_14.m4s,1638771286590,327211
15,/segment_360p_15.m4s,1638771288642,286016
NaN,/segment_720p_.mp4,1638771292532,962
13,/segment_720p_13.m4s,1638771292715,974263
14,/segment_720p_14.m4s,1638771296935,970955
15,/segment_720p_15.m4s,1638771301028,979197
NaN,/segment_144p_.mp4,1638771305127,953
16,/segment_144p_16.m4s,1638771305329,30400
17,/segment_144p_17.m4s,1638771305738,45643
18,/segment_144p_18.m4s,1638771306152,29150
NaN,/segment_360p_.mp4,1638771306456,903
17,/segment_360p_17.m4s,1638771306676,332390
18,/segment_360p_18.m4s,1638771308217,233176
19,/segment_360p_19.m4s,1638771309425,220516
20,/segment_360p_20.m4s,1638771310485,247159
21,/segment_360p_21.m4s,1638771311702,256705
NaN,/segment_1080p_.mp4,1638771314035,960
19,/segment_1080p_19.m4s,1638771314195,1025152
20,/segment_1080p_20.m4s,1638771318641,1284533
NaN,/segment_720p_.mp4,1638771323966,962
21,/segment_720p_21.m4s,1638771324137,892770
NaN,/segment_144p_.mp4,1638771327959,953
22,/segment_144p_22.m4s,1638771328180,39140
NaN,/segment_360p_.mp4,1638771328681,903
22,/segment_360p_22.m4s,1638771328808,297881
23,/segment_360p_23.m4s,1638771330314,225188
24,/segment_360p_24.m4s,1638771331341,342751
25,/segment_360p_25.m4s,1638771332977,273559
26,/segment_360p_26.m4s,1638771334309,324346
27,/segment_360p_27.m4s,1638771336870,299669
28,/segment_360p_28.m4s,1638771340862,299859
NaN,/segment_720p_.mp4,1638771344855,962
26,/segment_720p_26.m4s,1638771344998,1176281
27,/segment_720p_27.m4s,1638771349976,1152376
28,/segment_720p_28.m4s,1638771354786,1008718
NaN,/segment_144p_.mp4,1638771359091,953
29,/segment_144p_29.m4s,1638771359283,38053
NaN,/segment_360p_.mp4,1638771359706,903
29,/segment_360p_29.m4s,1638771359891,295688
30,/segment_360p_30.m4s,1638771361342,344337
31,/segment_360p_31.m4s,1638771362980,290096
32,/segment_360p_32.m4s,1638771364414,336122
33,/segment_360p_33.m4s,1638771365952,297474
34,/segment_360p_34.m4s,1638771367385,334339
35,/segment_360p_35.m4s,1638771371479,290883
NaN,/segment_720p_.mp4,1638771375460,962
33,/segment_720p_33.m4s,1638771375589,958371
34,/segment_720p_34.m4s,1638771379944,1154014
35,/segment_720p_35.m4s,1638771384691,1025620
NaN,/segment_144p_.mp4,1638771388991,953
36,/segment_144p_36.m4s,1638771389202,25025
37,/segment_144p_37.m4s,1638771389523,14230
38,/segment_144p_38.m4s,1638771389818,15887
NaN,/segment_360p_.mp4,1638771390104,903
37,/segment_360p_37.m4s,1638771390413,146360
38,/segment_360p_38.m4s,1638771391165,119079
39,/segment_360p_39.m4s,1638771391959,151317
40,/segment_360p_40.m4s,1638771392708,117435
41,/segment_360p_41.m4s,1638771393496,71734
NaN,/segment_1080p_.mp4,1638771397494,960
39,/segment_1080p_39.m4s,1638771397708,615803
40,/segment_1080p_40.m4s,1638771400458,461556
41,/segment_1080p_41.m4s,1638771402470,216305
42,/segment_1080p_42.m4s,1638771403634,998512
43,/segment_1080p_43.m4s,1638771407834,1276029
NaN,/segment_720p_.mp4,1638771413138,962
44,/segment_720p_44.m4s,1638771413365,713137
45,/segment_720p_45.m4s,1638771416536,577988
46,/segment_720p_46.m4s,1638771418994,564599
47,/segment_720p_47.m4s,1638771421481,850044
48,/segment_720p_48.m4s,1638771425094,648040
49,/segment_720p_49.m4s,1638771428001,1014447
50,/segment_720p_50.m4s,1638771432308,760289
51,/segment_720p_51.m4s,1638771435480,584833
52,/segment_720p_52.m4s,1638771438039,631876
53,/segment_720p_53.m4s,1638771440913,775171
54,/segment_720p_54.m4s,1638771444700,453628
55,/segment_720p_55.m4s,1638771448792,494355
56,/segment_720p_56.m4s,1638771452581,585926
57,/segment_720p_57.m4s,1638771456626,501052
58,/segment_720p_58.m4s,1638771460467,446279
59,/segment_720p_59.m4s,1638771464433,176661
