URL,TIME,SIZE
segment_360p_1.m4s,1638761852298.1467,202182
segment_360p_2.m4s,1638761854133.788,181391
segment_360p_3.m4s,1638761855792.3616,190757
segment_360p_4.m4s,1638761857537.9397,225696
segment_360p_5.m4s,1638761859554.1782,173657
segment_360p_6.m4s,1638761862655.201,291902
segment_360p_7.m4s,1638761866710.406,253476
segment_360p_8.m4s,1638761870469.4946,313572
segment_360p_9.m4s,1638761874703.732,257385
segment_360p_10.m4s,1638761878485.2222,331614
segment_360p_11.m4s,1638761882365.4548,309272
segment_360p_12.m4s,1638761886563.4644,320189
segment_360p_13.m4s,1638761890339.7278,308431
segment_360p_14.m4s,1638761894529.0364,327211
segment_360p_15.m4s,1638761898374.6682,286016
segment_360p_16.m4s,1638761902377.5566,239042
segment_360p_17.m4s,1638761906507.8115,332390
segment_360p_18.m4s,1638761910385.1423,233176
segment_360p_19.m4s,1638761914469.0627,220516
segment_360p_20.m4s,1638761918448.2869,247159
segment_360p_21.m4s,1638761922636.8357,256705
segment_360p_22.m4s,1638761926409.3271,297881
segment_360p_23.m4s,1638761930504.518,225188
segment_360p_24.m4s,1638761934528.1926,342751
segment_360p_25.m4s,1638761938490.4468,273559
segment_360p_26.m4s,1638761942396.7605,324346
segment_360p_27.m4s,1638761946722.2395,299669
segment_360p_28.m4s,1638761950335.542,299859
segment_360p_29.m4s,1638761954445.6362,295688
segment_360p_30.m4s,1638761958533.0815,344337
segment_360p_31.m4s,1638761962501.888,290096
segment_360p_32.m4s,1638761966539.3164,336122
segment_360p_33.m4s,1638761970455.9075,297474
segment_360p_34.m4s,1638761974558.3445,334339
segment_360p_35.m4s,1638761978448.526,290883
segment_360p_36.m4s,1638761982496.68,198909
segment_360p_37.m4s,1638761986793.7004,146360
segment_360p_38.m4s,1638761990690.985,119079
segment_360p_39.m4s,1638761994356.2002,151317
segment_360p_40.m4s,1638761998782.8223,117435
segment_360p_41.m4s,1638762002443.153,71734
segment_360p_42.m4s,1638762006730.3545,234119
segment_360p_43.m4s,1638762010326.6519,235956
segment_360p_44.m4s,1638762014439.875,207272
segment_360p_45.m4s,1638762018312.986,158692
segment_360p_46.m4s,1638762022791.6582,164905
segment_360p_47.m4s,1638762026317.227,201307
segment_360p_48.m4s,1638762030647.8406,193470
segment_360p_49.m4s,1638762034418.6218,238089
segment_360p_50.m4s,1638762038538.347,221497
segment_360p_51.m4s,1638762042526.7446,168431
segment_360p_52.m4s,1638762046591.3599,176496
segment_360p_53.m4s,1638762050723.842,198698
segment_360p_54.m4s,1638762054527.348,124082
segment_360p_55.m4s,1638762058734.122,124408
segment_360p_56.m4s,1638762062443.8037,142987
segment_360p_57.m4s,1638762066305.2566,107643
segment_360p_58.m4s,1638762070386.0974,104950
segment_360p_59.m4s,1638762074438.0317,32337
