ID,URL,TIME,SIZE
1,/segment_1080p_1.m4s,1638747092863,1250617
1,/segment_360p_1.m4s,1638747103324,202182
2,/segment_360p_2.m4s,1638747105156,181391
3,/segment_360p_3.m4s,1638747106888,190757
4,/segment_360p_4.m4s,1638747108646,225696
5,/segment_360p_5.m4s,1638747112110,173657
6,/segment_360p_6.m4s,1638747113652,291902
7,/segment_360p_7.m4s,1638747116207,253476
8,/segment_360p_8.m4s,1638747119895,313572
9,/segment_360p_9.m4s,1638747123651,257385
10,/segment_360p_10.m4s,1638747127378,331614
11,/segment_360p_11.m4s,1638747132080,309272
12,/segment_360p_12.m4s,1638747135972,320189
13,/segment_360p_13.m4s,1638747139891,308431
14,/segment_360p_14.m4s,1638747143652,327211
15,/segment_360p_15.m4s,1638747147849,286016
16,/segment_360p_16.m4s,1638747151347,239042
17,/segment_360p_17.m4s,1638747155529,332390
18,/segment_360p_18.m4s,1638747159519,233176
19,/segment_360p_19.m4s,1638747163619,220516
20,/segment_360p_20.m4s,1638747167505,247159
21,/segment_360p_21.m4s,1638747171704,256705
22,/segment_360p_22.m4s,1638747175740,297881
23,/segment_360p_23.m4s,1638747179796,225188
24,/segment_360p_24.m4s,1638747183589,342751
25,/segment_360p_25.m4s,1638747187432,273559
26,/segment_360p_26.m4s,1638747191474,324346
27,/segment_360p_27.m4s,1638747195780,299669
28,/segment_360p_28.m4s,1638747199458,299859
29,/segment_360p_29.m4s,1638747203553,295688
30,/segment_360p_30.m4s,1638747207759,344337
31,/segment_360p_31.m4s,1638747211751,290096
32,/segment_360p_32.m4s,1638747215737,336122
33,/segment_360p_33.m4s,1638747219734,297474
34,/segment_360p_34.m4s,1638747223422,334339
35,/segment_360p_35.m4s,1638747227842,290883
36,/segment_360p_36.m4s,1638747232224,198909
37,/segment_360p_37.m4s,1638747235380,146360
38,/segment_360p_38.m4s,1638747240114,119079
39,/segment_360p_39.m4s,1638747243794,151317
40,/segment_360p_40.m4s,1638747247598,117435
41,/segment_360p_41.m4s,1638747251790,71734
42,/segment_360p_42.m4s,1638747255569,234119
43,/segment_360p_43.m4s,1638747259671,235956
44,/segment_360p_44.m4s,1638747263784,207272
45,/segment_360p_45.m4s,1638747267468,158692
46,/segment_360p_46.m4s,1638747271956,164905
47,/segment_360p_47.m4s,1638747275850,201307
48,/segment_360p_48.m4s,1638747279942,193470
49,/segment_360p_49.m4s,1638747283628,238089
50,/segment_360p_50.m4s,1638747287724,221497
51,/segment_360p_51.m4s,1638747291694,168431
52,/segment_360p_52.m4s,1638747295824,176496
53,/segment_360p_53.m4s,1638747299509,198698
54,/segment_360p_54.m4s,1638747303732,124082
55,/segment_360p_55.m4s,1638747307712,124408
56,/segment_360p_56.m4s,1638747311899,142987
57,/segment_360p_57.m4s,1638747315781,107643
58,/segment_360p_58.m4s,1638747319800,104950
59,/segment_360p_59.m4s,1638747323359,32337
