ID,URL,TIME,SIZE
NaN,/segment_360p_.mp4,1638699936207,903
1,/segment_360p_1.m4s,1638699936215,202182
NaN,/segment_1080p_.mp4,1638699936223,960
2,/segment_1080p_2.m4s,1638699936227,771426
2,/segment_1080p_2.m4s,1638699936235,771426
3,/segment_1080p_3.m4s,1638699936243,853304
4,/segment_1080p_4.m4s,1638699936256,1300906
5,/segment_1080p_5.m4s,1638699936269,868728
6,/segment_1080p_6.m4s,1638699936276,1203283
7,/segment_1080p_7.m4s,1638699936285,1229601
8,/segment_1080p_8.m4s,1638699936294,1312165
9,/segment_1080p_9.m4s,1638699936303,845341
10,/segment_1080p_10.m4s,1638699936310,1696983
11,/segment_1080p_11.m4s,1638699936319,1775107
12,/segment_1080p_12.m4s,1638699936329,1806885
13,/segment_1080p_13.m4s,1638699936338,1315077
14,/segment_1080p_14.m4s,1638699936346,1175323
15,/segment_1080p_15.m4s,1638699936354,701399
16,/segment_1080p_16.m4s,1638699936360,863912
17,/segment_1080p_17.m4s,1638699936366,1515895
18,/segment_1080p_18.m4s,1638699936379,954250
19,/segment_1080p_19.m4s,1638699936386,1025152
20,/segment_1080p_20.m4s,1638699936394,1284533
21,/segment_1080p_21.m4s,1638699936402,1223011
22,/segment_1080p_22.m4s,1638699936410,1221959
23,/segment_1080p_23.m4s,1638699936418,1059117
24,/segment_1080p_24.m4s,1638699936425,1578519
25,/segment_1080p_25.m4s,1638699936434,1512766
26,/segment_1080p_26.m4s,1638699936444,1612210
27,/segment_1080p_27.m4s,1638699936452,1496282
28,/segment_1080p_28.m4s,1638699936479,1387583
29,/segment_1080p_29.m4s,1638699936489,1284418
30,/segment_1080p_30.m4s,1638699936497,1810721
31,/segment_1080p_31.m4s,1638699936507,1505822
32,/segment_1080p_32.m4s,1638699936516,1747859
33,/segment_1080p_33.m4s,1638699936525,1323883
34,/segment_1080p_34.m4s,1638699936534,1514350
35,/segment_1080p_35.m4s,1638699936543,1316944
36,/segment_1080p_36.m4s,1638699936552,894201
37,/segment_1080p_37.m4s,1638699936559,549385
38,/segment_1080p_38.m4s,1638699936564,556124
39,/segment_1080p_39.m4s,1638699936570,615803
40,/segment_1080p_40.m4s,1638699936576,461556
41,/segment_1080p_41.m4s,1638699936582,216305
42,/segment_1080p_42.m4s,1638699936586,998512
43,/segment_1080p_43.m4s,1638699936594,1276029
44,/segment_1080p_44.m4s,1638699936602,970672
45,/segment_1080p_45.m4s,1638699936609,865361
46,/segment_1080p_46.m4s,1638699936616,785931
47,/segment_1080p_47.m4s,1638699936622,1436136
48,/segment_1080p_48.m4s,1638699936632,905360
49,/segment_1080p_49.m4s,1638699936639,1667343
50,/segment_1080p_50.m4s,1638699936665,1137669
51,/segment_1080p_51.m4s,1638699936672,811591
52,/segment_1080p_52.m4s,1638699936679,942703
53,/segment_1080p_53.m4s,1638699936686,753832
54,/segment_1080p_54.m4s,1638699936694,334564
55,/segment_1080p_55.m4s,1638699936701,311011
56,/segment_1080p_56.m4s,1638699936706,364151
57,/segment_1080p_57.m4s,1638699936711,268208
58,/segment_1080p_58.m4s,1638699936716,300106
59,/segment_1080p_59.m4s,1638699936721,127338
