ID,URL,TIME,SIZE
1,/segment_360p_1.m4s,1638737533472,202182
NaN,/segment_1080p_.mp4,1638737533495,960
1,/segment_1080p_1.m4s,1638737533501,1250617
2,/segment_1080p_2.m4s,1638737533517,771426
3,/segment_1080p_3.m4s,1638737533533,853304
4,/segment_1080p_4.m4s,1638737533545,1300906
5,/segment_1080p_5.m4s,1638737533603,868728
6,/segment_1080p_6.m4s,1638737533613,1203283
7,/segment_1080p_7.m4s,1638737533626,1229601
8,/segment_1080p_8.m4s,1638737533640,1312165
NaN,/segment_1080p_.mp4,1638737536529,960
1,/segment_1080p_1.m4s,1638737536535,1250617
2,/segment_1080p_2.m4s,1638737536552,771426
3,/segment_1080p_3.m4s,1638737536567,853304
4,/segment_1080p_4.m4s,1638737536583,1300906
5,/segment_1080p_5.m4s,1638737536643,868728
6,/segment_1080p_6.m4s,1638737536659,1203283
7,/segment_1080p_7.m4s,1638737536671,1229601
8,/segment_1080p_8.m4s,1638737536683,1312165
9,/segment_1080p_9.m4s,1638737539210,845341
10,/segment_1080p_10.m4s,1638737543235,1696983
11,/segment_1080p_11.m4s,1638737547294,1775107
NaN,/segment_1080p_.mp4,1638737550793,960
14,/segment_1080p_14.m4s,1638737550799,1175323
15,/segment_1080p_15.m4s,1638737550815,701399
16,/segment_1080p_16.m4s,1638737550829,863912
17,/segment_1080p_17.m4s,1638737550845,1515895
18,/segment_1080p_18.m4s,1638737550864,954250
19,/segment_1080p_19.m4s,1638737550876,1025152
20,/segment_1080p_20.m4s,1638737550890,1284533
21,/segment_1080p_21.m4s,1638737550904,1223011
22,/segment_1080p_22.m4s,1638737550918,1221959
NaN,/segment_1080p_.mp4,1638737553989,960
23,/segment_1080p_23.m4s,1638737553994,1059117
24,/segment_1080p_24.m4s,1638737554010,1578519
25,/segment_1080p_25.m4s,1638737554027,1512766
26,/segment_1080p_26.m4s,1638737554047,1612210
27,/segment_1080p_27.m4s,1638737554066,1496282
28,/segment_1080p_28.m4s,1638737554080,1387583
29,/segment_1080p_29.m4s,1638737554093,1284418
30,/segment_1080p_30.m4s,1638737554113,1810721
31,/segment_1080p_31.m4s,1638737556133,1505822
NaN,/segment_1080p_.mp4,1638737564172,960
1,/segment_1080p_1.m4s,1638737564751,1250617
NaN,/segment_360p_.mp4,1638737572275,903
1,/segment_360p_1.m4s,1638737572847,202182
2,/segment_360p_2.m4s,1638737574537,181391
3,/segment_360p_3.m4s,1638737576123,190757
4,/segment_360p_4.m4s,1638737577756,225696
5,/segment_360p_5.m4s,1638737579581,173657
6,/segment_360p_6.m4s,1638737581115,291902
7,/segment_360p_7.m4s,1638737584821,253476
8,/segment_360p_8.m4s,1638737588816,313572
9,/segment_360p_9.m4s,1638737592647,257385
10,/segment_360p_10.m4s,1638737596654,331614
